"","Model","Dist","AICc","AIC","DeltaAIC","Params","LogLik"
"2","k_13 Interference","Poisson",74.1126676759063,74.0710835174905,0,6,-31.0355417587452
"7","k_12/k_13 Interference","Poisson",74.7668784234403,74.7114054170015,0.640321899511036,7,-30.3557027085008
"15","k_13/k_34 Interference","Poisson",74.9481240312809,74.8926510248421,0.821567507351574,7,-30.446325512421
"12","k_13/k_14 Interference","Poisson",74.9923371819852,74.9368641755464,0.865780658055883,7,-30.4684320877732
"22","k_12/k_13/k_14 Interference","Poisson",75.5387868728871,75.467429092907,1.39634557541649,8,-29.7337145464535
"13","k_13/k_23 Interference","Poisson",75.6646416144169,75.6091686079781,1.53808509048758,7,-30.804584303989
"14","k_13/k_24 Interference","Poisson",76.0017167752405,75.9462437688017,1.87516025131117,7,-30.9731218844008
"210","k_13 Interference","Negative Binomial",76.1900889071905,76.1346159007517,2.06353238326119,7,-31.0673079503758
"25","k_12/k_13/k_34 Interference","Poisson",76.1942588241004,76.1229010441202,2.05181752662975,8,-30.0614505220601
"33","k_13/k_14/k_24 Interference","Poisson",76.2958183384185,76.2244605584383,2.15337704094782,8,-30.1122302792191
"24","k_12/k_13/k_24 Interference","Poisson",76.4353948712055,76.3640370912253,2.29295357373485,8,-30.1820185456127
"71","k_12/k_13 Interference","Negative Binomial",76.8664184296581,76.7950606496779,2.72397713218743,8,-30.397530324839
"151","k_13/k_34 Interference","Negative Binomial",77.0188177516143,76.9474599716341,2.87637645414361,8,-30.473729985817
"121","k_13/k_14 Interference","Negative Binomial",77.0410344996494,76.9696767196692,2.89859320217874,8,-30.4848383598346
"35","k_13/k_23/k_24 Interference","Poisson",77.3256470390702,77.25428925909,3.18320574159952,8,-30.627144629545
"36","k_13/k_23/k_34 Interference","Poisson",77.4620334902106,77.3906757102304,3.31959219273995,8,-30.6953378551152
"42","k_12/k_13/k_14/k_23 Interference","Poisson",77.5419209999379,77.4526795522434,3.38159603475287,9,-29.7263397761217
"23","k_12/k_13/k_23 Interference","Poisson",77.5505270450671,77.479169265087,3.40808574759649,8,-30.7395846325435
"221","k_12/k_13/k_14 Interference","Negative Binomial",77.6927201538854,77.6034787061908,3.53239518870032,9,-29.8017393530954
"131","k_13/k_23 Interference","Negative Binomial",77.7472326242682,77.675874844288,3.60479132679757,8,-30.837937422144
"43","k_12/k_13/k_14/k_24 Interference","Poisson",78.1057225408329,78.0164810931383,3.9453975756478,9,-30.0082405465691
"52","k_13/k_14/k_23/k_24 Interference","Poisson",78.1324288338217,78.0431873861271,3.97210386863662,9,-30.0215936930636
"44","k_12/k_13/k_14/k_34 Interference","Poisson",78.1366914113749,78.0474499636803,3.97636644618979,9,-30.0237249818401
"251","k_12/k_13/k_34 Interference","Negative Binomial",78.2789521494049,78.1897107017103,4.1186271842198,9,-30.0948553508551
"331","k_13/k_14/k_24 Interference","Negative Binomial",78.3630909141828,78.2738494664882,4.20276594899769,9,-30.1369247332441
"56","k_14/k_23/k_24/k_34 Interference","Poisson",78.4819502511489,78.3927088034543,4.32162528596382,9,-30.1963544017271
"47","k_12/k_13/k_24/k_34 Interference","Poisson",78.5770478686461,78.4878064209515,4.41672290346105,9,-30.2439032104758
"54","k_13/k_14/k_24/k_34 Interference","Poisson",78.7687302624979,78.6794888148033,4.60840529731286,9,-30.3397444074017
"46","k_12/k_13/k_23/k_34 Interference","Poisson",78.8142253486074,78.7249839009128,4.6539003834223,9,-30.3624919504564
"321","k_13/k_14/k_23 Interference","Negative Binomial",78.8750429047139,78.7858014570193,4.71471793952878,9,-30.3929007285096
"371","k_13/k_24/k_34 Interference","Negative Binomial",78.9223645058407,78.8331230581462,4.76203954065568,9,-30.4165615290731
"34","k_13/k_14/k_34 Interference","Poisson",78.9496599389608,78.8783021589807,4.80721864149018,8,-31.4391510794903
