"","Model","Dist","AIC","LogLik","Params","DeltaAIC","Weights","AICc"
"13","k_13/k_23 Inteference","Poisson",42.5688516209696,-14.2844258104848,7,0,0.087,43.3008777647604
"7","k_12/k_13 Inteference","Poisson",43.426723663561,-14.7133618317805,7,0.857872042591453,0.056,44.1587498073519
"35","k_13/k_23/k_24 Inteference","Poisson",44.5398338447692,-14.2699169223846,8,1.97098222379964,0.032,45.4872022658218
"23","k_12/k_13/k_23 Inteference","Poisson",44.5553494160226,-14.2776747080113,8,1.98649779505308,0.032,45.5027178370753
"36","k_13/k_23/k_34 Inteference","Poisson",44.5572183741192,-14.2786091870596,8,1.98836675314965,0.032,45.5045867951718
"310","k_14 Inteference","Negative Binomial",44.8714367456307,-15.4357183728154,7,2.30258512466116,0.027,45.6034628894216
"15","k_13/k_34 Inteference","Poisson",44.9998664789871,-15.4999332394935,7,2.43101485801753,0.026,45.7318926227779
"24","k_12/k_13/k_24 Inteference","Poisson",44.7964855723217,-14.3982427861608,8,2.22763395135212,0.028,45.7438539933743
"14","k_13/k_24 Inteference","Poisson",45.2607350882508,-15.6303675441254,7,2.69188346728129,0.023,45.9927612320417
"161","k_14/k_23 Inteference","Negative Binomial",45.0776698898158,-14.5388349449079,8,2.5088182688462,0.025,46.0250383108684
"25","k_12/k_13/k_34 Inteference","Poisson",45.4032893920182,-14.7016446960091,8,2.83443777104867,0.021,46.3506578130709
"410","k_23 Inteference","Negative Binomial",45.8691127698708,-15.9345563849354,7,3.3002611489012,0.017,46.6011389136616
"121","k_13/k_14 Inteference","Negative Binomial",45.9461096635032,-14.9730548317516,8,3.37725804253364,0.016,46.8934780845558
"53","k_13/k_14/k_23/k_34 Inteference","Poisson",45.8661402789987,-13.9330701394994,9,3.29728865802917,0.017,47.0581932591312
"321","k_13/k_14/k_23 Inteference","Negative Binomial",45.8678013877275,-13.9339006938637,9,3.29894976675791,0.017,47.0598543678599
"4","k_23 Inteference","Poisson",46.5733730384839,-17.2866865192419,6,4.0045214175143,0.012,47.1188275839384
"34","k_13/k_14/k_34 Inteference","Poisson",46.2138740679241,-15.106937033962,8,3.6450224469545,0.014,47.1612424889767
"81","k_12/k_14 Inteference","Negative Binomial",46.2900737042903,-15.1450368521452,8,3.72122208332075,0.013,47.2374421253429
"44","k_12/k_13/k_14/k_34 Inteference","Poisson",46.0757691850088,-14.0378845925044,9,3.50691756403921,0.015,47.2678221651412
"9","k_12/k_23 Inteference","Poisson",46.6005143769478,-16.3002571884739,7,4.03166275597823,0.012,47.3325405207386
"20","k_23/k_34 Inteference","Poisson",46.7377390834979,-16.3688695417489,7,4.16888746252835,0.011,47.4697652272887
"33","k_13/k_14/k_24 Inteference","Poisson",46.5537873313103,-15.2768936656552,8,3.98493571034078,0.012,47.501155752363
"210","k_13 Inteference","Negative Binomial",46.8274612590737,-16.4137306295369,7,4.25860963810419,0.01,47.5594874028646
"261","k_12/k_14/k_23 Inteference","Negative Binomial",46.4013625740749,-14.2006812870375,9,3.83251095310538,0.013,47.5934155542074
"510","k_24 Inteference","Negative Binomial",46.886550518378,-16.443275259189,7,4.31769889740849,0.01,47.6185766621689
"30","k_12/k_23/k_34 Inteference","Poisson",46.7187832301422,-15.3593916150711,8,4.14993160917265,0.011,47.6661516511948
"171","k_14/k_24 Inteference","Negative Binomial",46.7197997583883,-15.3598998791941,8,4.15094813741871,0.011,47.6671681794409
"52","k_13/k_14/k_23/k_24 Inteference","Poisson",46.4858790917178,-14.2429395458589,9,3.91702747074828,0.012,47.6779320718503
"110","k_12 Inteference","Negative Binomial",46.9529738869087,-16.4764869434543,7,4.38412226593914,0.01,47.6850000306995
"46","k_12/k_13/k_23/k_34 Inteference","Poisson",46.5116622247294,-14.2558311123647,9,3.94281060375988,0.012,47.7037152048619
"55","k_13/k_23/k_24/k_34 Inteference","Poisson",46.5210611187724,-14.2605305593862,9,3.95220949780287,0.012,47.7131140989049
"45","k_12/k_13/k_23/k_24 Inteference","Poisson",46.5228478815095,-14.2614239407548,9,3.95399626053995,0.012,47.714900861642
"181","k_14/k_34 Inteference","Negative Binomial",46.8686710738543,-15.4343355369272,8,4.29981945288478,0.01,47.816039494907
"43","k_12/k_13/k_14/k_24 Inteference","Poisson",46.7044766889173,-14.3522383444587,9,4.13562506794779,0.011,47.8965296690498
"37","k_13/k_24/k_34 Inteference","Poisson",46.9546969881681,-15.477348494084,8,4.3858453671985,0.01,47.9020654092207
"47","k_12/k_13/k_24/k_34 Inteference","Poisson",46.7806380742302,-14.3903190371151,9,4.21178645326063,0.011,47.9726910543626
"381","k_14/k_23/k_24 Inteference","Negative Binomial",46.9474963400173,-14.4737481700087,9,4.37864471904777,0.01,48.1395493201498
"191","k_23/k_24 Inteference","Negative Binomial",47.2915868215189,-15.6457934107594,8,4.72273520054932,0.008,48.2389552425715
"391","k_14/k_23/k_34 Inteference","Negative Binomial",47.0496660295369,-14.5248330147684,9,4.48081440856731,0.009,48.2417190096693
"91","k_12/k_23 Inteference","Negative Binomial",47.7111729429871,-15.8555864714936,8,5.14232132201755,0.007,48.6585413640397
"10","k_12/k_24 Inteference","Poisson",47.9295003798993,-16.9647501899497,7,5.36064875892976,0.006,48.6615265236902
"1","k_12 Inteference","Poisson",48.1244686909661,-18.062234345483,6,5.55561706999652,0.005,48.6699232364206
"8","k_12/k_14 Inteference","Poisson",47.960651831231,-16.9803259156155,7,5.39180021026141,0.006,48.6926779750218
"31","k_12/k_24/k_34 Inteference","Poisson",47.8144176797662,-15.9072088398831,8,5.24556605879661,0.006,48.7617861008188
"271","k_12/k_14/k_24 Inteference","Negative Binomial",47.6212699836672,-14.8106349918336,9,5.05241836269761,0.007,48.8133229637996
"112","Independent","Poisson",48.4578488863012,-19.2289244431506,5,5.88899726533168,0.005,48.8449456604948
"6","k_34 Inteference","Poisson",48.4102324948428,-18.2051162474214,6,5.84138087387328,0.005,48.9556870402974
"331","k_13/k_14/k_24 Inteference","Negative Binomial",47.8198958280818,-14.9099479140409,9,5.25104420711227,0.006,49.0119488082143
